Date,Open,High,Low,Close,Volume,Adj close
5/20/2024 15:16:00,12.27,12.59,12.07,12.15,0,12.15
5/21/2024 15:16:00,12.42,12.56,11.84,11.86,0,11.86
5/22/2024 15:16:00,12.13,12.81,11.78,12.29,0,12.29
5/23/2024 15:16:00,11.6,13.37,11.6,12.77,0,12.77
5/24/2024 15:16:00,12.57,12.57,11.89,11.93,0,11.93
5/28/2024 15:16:00,12.5,13.44,12.5,12.92,0,12.92
5/29/2024 15:16:00,14.11,14.32,13.69,14.28,0,14.28
5/30/2024 15:16:00,14.45,14.45,13.67,14.47,0,14.47
5/31/2024 15:16:00,14.38,14.87,12.84,12.92,0,12.92
6/3/2024 15:16:00,13.08,14.31,13,13.11,0,13.11
6/4/2024 15:16:00,13.85,13.85,13.11,13.16,0,13.16
6/5/2024 15:16:00,12.96,13.25,12.6,12.63,0,12.63
6/6/2024 15:16:00,12.74,12.98,12.54,12.58,0,12.58
6/7/2024 15:16:00,12.86,13.08,12.11,12.22,0,12.22
6/10/2024 15:16:00,13.09,13.28,12.62,12.74,0,12.74
6/11/2024 15:16:00,13.24,13.47,13.24,12.85,0,12.85
6/12/2024 15:16:00,13.09,13.09,11.94,12.04,0,12.04
6/13/2024 15:16:00,12.2,12.68,11.88,11.94,0,11.94
6/14/2024 15:16:00,13.18,13.18,13.18,12.66,0,12.66
6/17/2024 15:16:00,13.07,13.29,12.5,12.75,0,12.75
6/18/2024 15:16:00,12.7,12.74,12.24,12.3,0,12.3
